Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Chi Chi (1999),WF-BH-3,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,1.7,1.3,22,0.14,1.3,186,16,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),WF-BH-7,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,4.2,3.2,36.67,0.19,3.2,186,60,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),WF-BH-10,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,1.6,1.4,22,0.13,4.8,186,96,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),WF-BH-11,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,2.8,2.2,46.5,0.08,2.2,186,45,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),WF-BH-12,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,1.5,8,40,0.1,8,186,100,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),WF-BH-13,Reverse,7.6,0.79,139.98,25.29,1.33,11.95,1,14.3,3.35,1,10,2.4,1,34,0.15,1,186,56,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-18,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,4.2,2.7,40.67,0.09,2.7,152,296,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-21,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3.09,0.71,9,0.37,0.71,152,383,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-25,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3.4,11,13,0.03,11,152,221,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-26,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,4.8,1.4,31,0.12,1.4,152,272,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-28,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,7.3,4,25,0.27,4,152,158,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-29,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,7.7,2,19.4,0.28,2,152,73,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-30,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3.9,3,15.67,0.26,3,152,97,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-35,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,2.2,3.5,17,0.18,18.3,152,49,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-43,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3.8,9.5,17.67,0.32,16.2,152,248,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-44,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3,2.6,21.5,0.24,2.6,152,147,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-45,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,3.2,6.5,28,0.1,6.5,152,89,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-46,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,7.9,1.6,28.25,0.09,8,152,99,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),YL-BH-47,Reverse,7.6,0.19,36.91,7.31,0.87,12.39,7.5,20.8,1.72,1,10,7.6,2.3,26.8,0.15,2.3,152,170,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1692,Oblique,6.3,0.36,36.7,3.82,-0.44,7.2,7.5,8.43,0.55,2,4.7,5.25,2.25,13.45,0.19,12.75,196,50,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1696,Oblique,6.3,0.44,72.8,12.28,-0.58,7.31,9,9.93,0.41,1.8,5.8,3.15,0.6,26.13,0.13,2.25,201,95,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1697,Oblique,6.3,0.46,72.8,11.75,-0.58,7.31,9,9.93,0.41,1.6,5.3,3.5,3.15,4.83,0.19,4.2375,201,46,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1698,Oblique,6.3,0.49,72.8,11.03,-0.58,7.31,9,9.93,0.41,5,6.7,3.55,5.39,7.59,0.19,7.9,201,77,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1700,Oblique,6.3,0.49,72.8,11.03,-0.58,7.31,9,9.93,0.41,2,2.9,2.75,1,6.8,0.19,2.25,201,40,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1703,Oblique,6.3,0.56,72.8,9.65,-0.58,7.31,9,9.93,0.41,0,9.5,2.7,2.4,15.24,0.19,2.4,189,46,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1704,Oblique,6.3,0.56,72.8,9.65,-0.55,7.29,8.7,9.63,0.43,0,17,3,2.25,42.36,0.22,3.75,189,54,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1705,Oblique,6.3,0.57,72.8,9.48,-0.55,7.29,8.7,9.63,0.43,2.5,13,1.25,1,31.85,0.42,1,189,36,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1706,Oblique,6.3,0.57,72.8,9.48,-0.55,7.29,8.7,9.63,0.43,2,0,6,0.5,6.4,0.24,5.25,189,64,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1707,Oblique,6.3,0.57,72.8,9.48,-0.55,7.29,8.7,9.63,0.43,1,0,11.9,2.25,7.92,0.19,12.8,189,80,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1720,Oblique,6.3,0.36,67.8,13.02,-0.47,7.22,7.8,8.73,0.52,0,2.2,3.45,0.3,3.91,0.19,0.3,201,37,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1721,Oblique,6.3,0.36,67.8,13.02,-0.47,7.22,7.8,8.73,0.52,0,6,11.2,1,10.7,0.19,6,201,48,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1740,Oblique,6.3,0.45,65.4,9.69,-0.58,7.31,9,9.93,0.41,3,1.5,6.25,2.25,55.92,0.19,3.75,155,26,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1784,Oblique,6.3,0.47,72.8,11.5,-0.58,7.31,9,9.93,0.41,1.5,4.8,2.25,3.75,8.39,0.19,6.375,196,13,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1785,Oblique,6.3,0.48,72.8,11.26,-0.58,7.31,9,9.93,0.41,0,1.3,5.1,0.3,16.46,0.18,3,196,50,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1787,Oblique,6.3,0.5,72.8,10.81,-0.58,7.31,9,9.93,0.41,0,7.8,3,2.25,6.75,0.19,3.75,196,70,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1788,Oblique,6.3,0.48,72.8,11.26,-0.58,7.31,9,9.93,0.41,0,6.2,1.2,3,3.73,0.19,7.8,196,40,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1789,Oblique,6.3,0.45,72.8,12.01,-0.58,7.31,9,9.93,0.41,5.5,12.86,6,3,5.36,0.23,4.2,201,64,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1790,Oblique,6.3,0.44,72.8,12.28,-0.58,7.31,9,9.93,0.41,3.6,9.3,7.5,2.25,9.09,0.19,6.75,201,100,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1791,Oblique,6.3,0.4,72.8,13.51,-0.51,7.25,8.2,9.13,0.48,0,10.2,2.4,3,13.53,0.19,5.4,201,60,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1792,Oblique,6.3,0.39,72.8,13.86,-0.51,7.25,8.2,9.13,0.48,0.67,2.12,11.15,0.1,7.36,0.23,0.1,201,25,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1835,Oblique,6.3,0.45,72.8,12.01,-0.51,7.25,8.2,9.13,0.48,2.7,5.2,4,3.2,7.13,0.31,13.8,201,100,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1836,Oblique,6.3,0.42,72.8,12.87,-0.51,7.25,8.2,9.13,0.48,3,4.9,1.13,2.93,8.5,0.19,7.9375,201,88,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1837,Oblique,6.3,0.42,72.8,12.87,-0.51,7.25,8.2,9.13,0.48,2.2,5.1,2.45,1.8,21.96,0.14,2.875,201,38,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1838,Oblique,6.3,0.46,65.4,9.48,-0.46,7.21,7.7,8.63,0.53,4.3,9.2,8.5,2.25,2.17,0.19,5.375,155,38,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1840,Oblique,6.3,0.47,65.4,9.28,-0.36,7.13,6.7,7.63,0.64,3,7.2,14.5,1,9.29,0.19,1,155,64,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1841,Oblique,6.3,0.47,65.4,9.28,-0.36,7.13,6.7,7.63,0.64,2.5,6.25,7.25,1,4.2,0.19,8.2,155,65,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1876,Oblique,6.3,0.49,72.8,11.03,-0.58,7.31,9,9.93,0.41,1.25,7.75,4.5,3.75,1.74,0.19,5.25,196,70,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Christchurch (2011),1877,Oblique,6.3,0.49,72.8,11.03,-0.41,7.17,7.2,8.13,0.59,2,4,11.5,5.25,8.4,0.19,9.75,196,43,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
